Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
1,59,38483.02,22154.96,722,48,No
2,49,44140.01,12484.15,572,12,Yes
3,35,53518.14,16603.03,648,36,Yes
4,63,83469.3,34584.97,636,60,Yes
5,28,56298.74,23994.9,737,60,No
6,41,52971.47,17282.28,572,12,Yes
7,59,34897.73,23524.86,687,24,No
8,39,50149.73,22141.31,516,36,Yes
9,43,41505.95,13284.48,707,60,No
10,31,44952.3,17049.53,689,24,No
11,31,61799.26,38036.29,644,60,No
12,44,53982.54,23136.02,780,60,No
13,56,85492.42,7447.66,496,24,Yes
14,60,76170.05,24081.68,679,12,No
15,44,50866.74,30424.71,764,36,Yes
16,23,46247.73,12764.97,689,24,Yes
17,42,80739.63,16345.26,776,24,No
18,22,84900.64,31630.17,648,60,Yes
19,44,27086.28,20279.3,668,24,Yes
20,64,61392.86,18856.97,766,36,Yes
21,50,56221.83,9311.54,743,12,No
22,58,69736.8,28564.53,848,12,No
23,22,89140.02,18492.25,687,12,Yes
24,41,52739.14,3000.0,694,36,No
25,53,29089.52,7418.9,648,60,Yes
26,32,68685.12,15507.36,666,36,Yes
27,42,80849.46,11417.26,755,24,No
28,64,55443.6,12672.31,680,48,Yes
29,45,49424.44,38757.36,623,48,Yes
30,47,53441.11,25660.18,654,48,Yes
31,62,72753.08,3000.0,674,12,No
32,48,53183.09,17485.42,628,36,Yes
33,36,64931.4,19284.05,648,36,No
34,35,60417.04,8184.53,610,12,Yes
35,64,58869.31,24275.09,650,24,Yes
36,23,70519.38,3668.89,762,48,No
37,57,52821.3,28775.58,683,48,No
38,27,53541.2,31532.24,850,12,No
39,41,71964.04,38820.68,627,48,Yes
40,29,45196.12,7405.37,714,60,No
41,59,46796.7,9032.82,696,36,No
42,38,41095.29,25541.38,726,48,No
43,24,72735.16,29461.44,638,48,No
44,45,58421.45,26471.62,654,60,Yes
45,34,40295.77,28637.74,709,24,Yes
46,29,72807.13,31014.62,645,24,No
47,46,51666.87,21618.0,556,60,Yes
48,22,46924.83,18299.6,772,24,No
49,40,57064.82,9054.58,742,12,No
50,48,82180.85,17615.16,651,60,No
51,27,54075.57,18840.89,695,36,No
52,64,68630.08,12402.52,750,36,No
53,28,70906.2,19694.21,774,36,No
54,55,66649.1,11500.97,687,48,No
55,34,79066.07,28906.66,639,60,No
56,37,49393.26,23406.6,782,60,No
57,56,44349.98,16323.17,687,24,No
58,60,44055.5,21510.72,670,60,No
59,24,57832.97,11159.28,698,60,No
60,22,45794.3,11970.46,761,24,No
61,26,62213.11,14929.16,677,60,No
62,62,61154.83,18464.58,749,60,No
63,24,75278.6,21129.61,665,12,Yes
64,49,64367.16,21161.25,723,24,No
65,38,53757.72,9449.78,614,12,Yes
66,46,66162.74,19354.17,755,48,No
